,type,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45
1,Nonpoor-Black,0.015502355,0.060353798,0.151162791,0.290322581,0.290322581,0.304347826,0.238095238,0.238095238,0.235294118,0.235294118
2,Nonpoor-Hispanic,0.030456263,0.054880491,0.121082621,0.126081582,0.131578947,0.152416357,0.151693667,0.15060241,0.146690519,0.14738806
3,Nonpoor-White,0.05885464,0.176339782,0.272760037,0.314486994,0.33140675,0.429541925,0.498667377,0.502579419,0.595448212,0.603422245
4,Poor-Black,0.016254246,0.091891892,0.1,0.210526316,0.210526316,0.214285714,0.166666667,0.166666667,0.181818182,0.181818182
5,Poor-Hispanic,0.018001075,0.03814262,0.067024129,0.075892857,0.077922078,0.086956522,0.121212121,0.125,0.111111111,0.111111111
6,Poor-White,0.038549328,0.123853211,0.168316832,0.207865169,0.211805556,0.264705882,0.290909091,0.290909091,0.314285714,0.375
