sensor_index,last_modified,date_created,last_seen,location_type,rssi,uptime,latency,latitude,longitude,altitude
7488,1526410001,1518231883,1708525393,0,-44,12333,392,28.01262,-97.09614,20
7506,1593352327,1518234275,1708525453,0,-67,846,328,26.967468,-80.09758,10
7552,1602175924,1518295412,1708525431,0,-64,54878,466,41.5127,-90.62441,576
7594,1519085660,1518308118,1708525391,0,-78,3250,333,42.463795,-89.201126,788
7660,1519193440,1518457130,1708525389,0,-61,17705,316,39.96064,-82.95169,761
7768,1632773099,1518653969,1708525371,0,-77,57749,1419,41.510944,-88.59631,633
7772,1549313481,1518653989,1708525482,0,-68,18442,273,42.25261,-83.7624,912
7920,1680813015,1519421324,1708525402,0,-55,22969,288,41.849483,-87.69537,592
8376,1686241079,1520560107,1708525434,0,-80,46606,260,43.50486,-96.695305,1478
8506,1521156143,1520708349,1708525383,1,-45,5326,340,26.93638,-80.10983,7
8532,1560021735,1520714895,1708525458,1,-80,879,344,29.811445,-98.611465,1431
8536,1529520850,1520714907,1708525463,1,-59,29582,225,29.811413,-98.611855,1427
8540,1529521285,1520714919,1708525397,1,-40,33175,230,29.811184,-98.6119,1425
8542,1559635533,1520715390,1708525468,1,-69,54872,222,29.810911,-98.611626,1430
8554,1529521643,1520883565,1708525380,0,-87,51765,269,29.811457,-98.61121,1431
8562,1529521839,1520883625,1708525390,0,-76,62523,243,29.8115,-98.61182,1427
8622,1642827290,1520971472,1708525444,1,-44,15897,676,30.098486,-81.5629,23
8694,1685926838,1521047838,1708525442,0,-56,38350,242,38.662155,-90.31583,502
9010,1561505879,1521856019,1708525473,0,-92,738,246,40.415096,-79.842545,1114
9020,1595783674,1521856145,1708525478,0,-72,61638,358,40.421337,-79.92346,1146
9038,1525703002,1521856441,1708525408,0,-70,10511,517,40.44501,-79.91504,1036
9042,1568316525,1521860005,1708525461,1,-47,6921,283,40.304237,-80.04751,1175
9044,1526162069,1521860011,1708525458,0,-85,30041,256,40.4344,-79.90994,1011
9060,1615235725,1521860073,1708525383,1,-73,16818,1625,40.65718,-79.94603,1138
9504,1693434748,1522177439,1708525399,0,-53,14572,876,32.4197,-97.008156,842
9542,1642284447,1522699241,1708525422,0,-57,15896,716,30.098486,-81.5629,23
9738,1531176156,1523399087,1708525443,0,-73,33530,1106,39.000076,-94.72648,1041
9816,1525039498,1523551784,1708525488,0,-56,54216,318,44.94585,-93.0564,923
9858,1662925649,1523556058,1708525415,0,-70,54127,229,40.38908,-79.87546,1154
9888,1568150893,1523558796,1708525404,1,-53,46879,209,40.454628,-80.01064,766
9896,1524799300,1523558805,1708525471,0,-45,6188,277,40.44105,-79.8962,920
9900,1526751916,1523558830,1708525448,0,-67,17486,271,40.497307,-79.88437,828
9912,1625522330,1523561359,1708525446,0,-74,39709,310,29.878283,-98.14714,1144
10216,1526002823,1525385612,1708525443,0,-60,7703,344,42.753536,-87.89455,724
10894,1591902086,1526504909,1708525391,0,-71,41320,518,40.09578,-88.315544,736
10978,1607031194,1526749106,1708525421,1,-61,40688,330,44.94863,-93.05569,902
10982,1601482046,1526749514,1708525402,0,-76,61594,288,40.604836,-79.18906,1314
11002,1662925659,1526754549,1708525376,0,-74,9923,275,41.01832,-81.796585,1188
11048,1527807527,1527014290,1708525422,0,-54,38114,284,41.058475,-81.55693,1097
11134,1529977499,1527023589,1708525456,0,-60,69100,236,44.92776,-93.32235,886
11266,1554574979,1527200697,1708525405,0,-63,17276,244,43.26944,-79.85636,275
11326,1554908169,1527269915,1708525451,0,-70,44307,1066,43.24802,-79.846344,313
